2011-10-12 14:27:40 status unpacked libnih-dbus1 1.0.3-4ubuntu2
2011-10-12 14:27:40 install libnih1 <none> 1.0.3-4ubuntu2
2011-10-12 14:27:40 status half-installed libnih1 1.0.3-4ubuntu2
2011-10-12 14:27:40 status unpacked libnih1 1.0.3-4ubuntu2
2011-10-12 14:27:40 status unpacked libnih1 1.0.3-4ubuntu2
2011-10-12 14:27:40 install libpam-modules <none> 1.1.3-2ubuntu1
2011-10-12 14:27:40 status half-installed libpam-modules 1.1.3-2ubuntu1
2011-10-12 14:27:40 status unpacked libpam-modules 1.1.3-2ubuntu1
2011-10-12 14:27:40 status unpacked libpam-modules 1.1.3-2ubuntu1
2011-10-12 14:27:40 install libpam-modules-bin <none> 1.1.3-2ubuntu1
2011-10-12 14:27:40 status half-installed libpam-modules-bin 1.1.3-2ubuntu1
2011-10-12 14:27:40 status unpacked libpam-modules-bin 1.1.3-2ubuntu1
2011-10-12 14:27:40 status unpacked libpam-modules-bin 1.1.3-2ubuntu1
2011-10-12 14:27:40 install libpam-runtime <none> 1.1.3-2ubuntu1
2011-10-12 14:27:40 status half-installed libpam-runtime 1.1.3-2ubuntu1
2011-10-12 14:27:40 status unpacked libpam-runtime 1.1.3-2ubuntu1
2011-10-12 14:27:40 status unpacked libpam-runtime 1.1.3-2ubuntu1
2011-10-12 14:27:40 install libpam0g <none> 1.1.3-2ubuntu1
2011-10-12 14:27:40 status half-installed libpam0g 1.1.3-2ubuntu1
2011-10-12 14:27:40 status unpacked libpam0g 1.1.3-2ubuntu1
2011-10-12 14:27:40 status unpacked libpam0g 1.1.3-2ubuntu1
2011-10-12 14:27:40 install libpciaccess0 <none> 0.12.1-2
2011-10-12 14:27:40 status half-installed libpciaccess0 0.12.1-2
2011-10-12 14:27:40 status unpacked libpciaccess0 0.12.1-2
2011-10-12 14:27:40 status unpacked libpciaccess0 0.12.1-2
2011-10-12 14:27:40 install libpcre3 <none> 8.12-3ubuntu2
2011-10-12 14:27:40 status half-installed libpcre3 8.12-3ubuntu2
2011-10-12 14:27:40 status unpacked libpcre3 8.12-3ubuntu2
2011-10-12 14:27:40 status unpacked libpcre3 8.12-3ubuntu2
2011-10-12 14:27:40 install libplymouth2 <none> 0.8.2-2ubuntu28
2011-10-12 14:27:40 status half-installed libplymouth2 0.8.2-2ubuntu28
2011-10-12 14:27:40 status unpacked libplymouth2 0.8.2-2ubuntu28
2011-10-12 14:27:40 status unpacked libplymouth2 0.8.2-2ubuntu28
2011-10-12 14:27:40 install libpng12-0 <none> 1.2.46-3ubuntu1
2011-10-12 14:27:40 status half-installed libpng12-0 1.2.46-3ubuntu1
2011-10-12 14:27:40 status unpacked libpng12-0 1.2.46-3ubuntu1
2011-10-12 14:27:40 status unpacked libpng12-0 1.2.46-3ubuntu1
